product_name,product_image_url,product_id,stock_availability,sponsored,mrp,selling_price,product_position
Lay's American Cream & Onion Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/e4e5e98d-56d9-4845-96c6-7f9f2326081a.jpg",1e28f2c0-fbc5-4366-9efb-a65bd12428cb,True,True,1,1,1
Lay's India's Magic Masala Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/9bca09e2-4dca-469a-92e9-85334b237f62.jpg",07878a63-2656-4618-a7cc-ecfe8c2faf22,True,True,1,1,2
Lay's West Indies Hot 'n' Sweet Chilli Potato Chips,,70bda37d-7f15-4189-b90c-e16dc170d950,True,True,1,1,3
Lay's American Cream & Onion Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/23c94259-5668-472a-8f52-2ac4c3dbd48e.jpg",a221968b-7cf1-4af7-adfd-40b8b19360ce,True,True,1,1,4
Lay's Potato Chips - Chile Lemon Flavour,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/06a3175f-e88f-43dd-a2be-b98401a8d5f4.jpg",7ffb904c-6169-46a2-9c9f-bdfc287572c7,True,True,1,1,5
Lay's Spanish Tomato Tango Potato Chips,,64cfe3fd-d3f1-431f-9655-d57c3a38e1d4,True,True,1,1,6
Lay's Classic Salted Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/b3c6d501-b257-4994-8ec8-02a855744e84.jpg",12cdefc2-c4c6-4a74-8b63-cefd3e293a3c,True,True,1,1,7
Lay's Potato Chips - Sizzling Hot Spicy Flavour,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/b5a4f229-15f3-40c8-b5ad-2e647c474697.jpg",918d66a3-516f-4650-ba60-661c9f91bbb0,True,True,1,1,8
Lay's Wafer Chips Red Chilli,,5297a83c-77c0-4bf8-970a-947a7caabf85,True,True,1,1,9
Lay's Classic Salted Potato Chips,,351db1e6-d693-4a28-88a8-2d59e864f67a,True,True,1,1,10
Lay's Spanish Tomato Tango Potato Chips,,6daad06f-a509-40a4-b6eb-4c684abf3183,True,True,1,1,11
Lay's India's Magic Masala Potato Chips,,f320f879-7942-4ddd-8d08-e7a91915d213,True,True,5,5,12
Lay's India's Magic Masala Potato Chips,,a1846726-c186-42a6-b55f-851bd58a95ec,True,True,12,12,13
Lay's Hot n Sweet,"https://cdn.zeptonow.com/production/tr:w-403,ar-577-688,pr-true,f-auto,q-80/cms/product_variant/fc51be12-86ad-4e2b-9c35-aaa4626ad08e.jpg",a74120ab-4099-42f5-b91e-74beb1f6ac5b,True,True,5,5,14
Lay's Potato Chips Wafer style - Salt with Pepper Flavour,,d86d05e4-4ea6-4a61-a185-b101c1094509,True,True,1,1,15
Lay's India's Magic Masala Potato Chips Combo,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/e7965920-9a20-4aa3-9d41-00103dd170b4.jpg",c119a60c-c919-460b-801a-ad31f4a3ac7e,True,True,8,8,16
Lay's Spanish Tomato Tango Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/1166f6b2-c805-4086-bb7c-4a095b9cc827.jpg",c25191e7-afd9-443b-983d-6e70808e183c,True,True,5,5,17
Lay's American Cream & Onion Potato Chips Combo,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/ff1b979f-3e22-4517-bb37-1e3cdacf7e8d.jpg",6a6f5a71-141a-40df-bfc4-209a62c50653,True,True,8,8,18
Lay's West Indies Hot 'n' Sweet Chilli Potato Chips Combo,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/e45dda06-4b9d-48cd-aef7-a8006e5948fe.jpg",0081cc7d-7d08-47f1-af0f-b126139c390d,True,True,8,8,19
Lay's Classic Salted Potato Chips Combo,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/48e98ac4-2941-4919-aa3b-b92ab25c9788.jpg",58b77116-b20d-48a6-aa89-dfd2dc70960b,True,True,8,8,20
Lay's American Cream & Onion Potato Chips 1 pack (48 g),,1e28f2c0-fbc5-4366-9efb-a65bd12428cb,True,False,0,0,21
Lay's India's Magic Masala Potato Chips 1 pack (48 g),,07878a63-2656-4618-a7cc-ecfe8c2faf22,True,False,0,0,22
Lay's West Indies Hot 'n' Sweet Chilli Potato Chips 1 pack (48 g),,70bda37d-7f15-4189-b90c-e16dc170d950,True,False,0,0,23
Lay's American Cream & Onion Potato Chips 1 pack (67 g),,a221968b-7cf1-4af7-adfd-40b8b19360ce,True,False,0,0,24
Unknown Product,,10a847f5-b72b-42b8-b1b7-619a26bccf90,True,True,0,0,25
Unknown Product,,cf8e41c6-8b18-461f-95b4-02876a22edce,True,False,0,0,26
Unknown Product,,99dd9fd0-1b06-4649-b53f-cf756f60b8ea,True,False,0,0,27
Unknown Product,,20b3e088-7254-4355-8955-e25ebd552f9e,True,False,0,0,28
Unknown Product,,aa891942-3ce5-437e-bb11-0120ae085874,True,False,0,0,29
Unknown Product,,f613462d-a4c2-4e35-9388-aa520fd90ef4,True,False,0,0,30
Unknown Product,,2c89bcce-7f60-4d52-9613-3ca6c10fe527,True,True,0,0,31
Unknown Product,,f72c0479-1ae2-44fd-a65f-ca569d4f8c72,True,False,0,0,32
Unknown Product,,3e99d6ed-9714-4c6c-809a-c767e47dba5f,True,False,0,0,33
Unknown Product,,70b6574c-77b3-4715-a370-8bba207c0f4a,True,False,0,0,34
Unknown Product,,870056e6-aad4-43e6-8e38-e757dc2b028c,True,False,0,0,35
Unknown Product,,025d077e-d19d-4792-a4f3-b8dfcd79df34,True,False,0,0,36
Unknown Product,,105c48cc-d5cb-4279-ac58-fe36cc92d51d,True,False,0,0,37
Unknown Product,,85a8b981-aac7-4344-9a28-9818e50b790d,True,False,0,0,38
